name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hanoi,2018-05-05,31.5,25.5,27.8,37.8,25.5,30.9,24.8,84.3,2.144,100,8.33,rain,,,,22.3,137.6,1011,64.6,9.1,152.7,13.2,6,,2018-05-05T05:23:59,2018-05-05T18:22:53,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-06,33.5,26.5,29.2,42.1,26.5,34.7,25.5,81.5,0.024,100,4.17,rain,,,,24.1,127.8,1007.5,57.1,10.3,256.2,22.2,9,,2018-05-06T05:23:25,2018-05-06T18:23:17,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-07,36.7,26.9,31.3,45.4,31,37.9,25.4,73.6,0.3,100,12.5,rain,,,,15.7,141.5,1003.3,67.3,10.7,295.3,25.4,10,,2018-05-07T05:22:52,2018-05-07T18:23:42,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-08,34.8,27,30.5,44.2,30.9,36.9,25.4,75.4,0.005,100,4.17,rain,,,,21.4,80.6,1004.1,44.3,10.1,299.3,26,10,,2018-05-08T05:22:20,2018-05-08T18:24:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-09,33.5,27,29.7,43,29.2,35.7,25.1,77,5,100,66.67,rain,,,,25,120.3,1007.3,71.2,8.8,132.2,11.3,5,,2018-05-09T05:21:49,2018-05-09T18:24:31,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-10,31.5,24,27.6,36.7,24,30.1,23.5,79.3,0.943,100,8.33,rain,,,,22.3,114.9,1009.7,69.5,10,137.1,11.9,5,,2018-05-10T05:21:19,2018-05-10T18:24:55,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-11,31.8,24,27.8,39.4,24,31.9,24.7,84.2,4.88,100,4.17,rain,,,,27.7,133.6,1008.8,79.4,9.5,89.8,7.7,3,,2018-05-11T05:20:50,2018-05-11T18:25:20,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-12,32,23.5,27,37.9,23.5,29.3,23.7,83.1,3,100,4.17,rain,,,,22.3,112.3,1009.4,68.4,8.6,213.9,18.4,7,,2018-05-12T05:20:22,2018-05-12T18:25:45,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-13,31,23,26.6,37,23,28.7,23.8,85.7,106.533,100,8.33,rain,,,,17.6,111.3,1009.8,75.6,8.7,182.4,15.9,7,,2018-05-13T05:19:55,2018-05-13T18:26:11,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2018-05-14,34,25,28.9,41.3,25,32.9,24.7,79.5,2.928,100,4.17,rain,,,44.6,24.1,123.7,1007.7,56.7,8.6,265.5,22.8,9,,2018-05-14T05:19:29,2018-05-14T18:26:36,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
