temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
28,30.1,21,65.77,0,0,0,0,20.2,12.1,155,1015,70,10,238,0.9,2,10
27.6,29.2,20.1,63.86,0,0,0,0,20.9,8.9,146,1015,88.6,10.2,108,0.4,1,10
26.5,26.5,20.5,69.65,0,0,0,0,24.1,16.6,130,1015,71.2,10,37,0.1,0,10
25.5,25.5,21,76.2,0,0,0,0,28.8,15.7,130,1015.5,0,9,1,0,0,10
24.7,24.7,21.9,84.29,0,0,0,0,30.6,8.5,149,1016.3,30.6,9,0,0,0,10
24,24,22,88.6,0,0,0,0,28.4,13.9,135,1016.5,0,5.5,0,0,0,10
23.5,23.5,22,91.31,0,0,0,0,26.3,16.6,135,1017,30,5,0,0,0,10
23.9,23.9,22,89.35,0,0,0,0,24.8,9.2,141,1017.2,97.6,8.3,0,0,0,10
23,23,21,88.52,0,0,0,0,20.9,11.2,140,1017,89,5,0,0,0,10
23.5,23.5,22,91.31,0.1,100,0,0,17.3,9.4,125,1017,89,5,0,0,0,10
22.9,22.9,21.3,90.88,0,0,0,0,16.6,5.8,129,1016.6,58.6,8.1,0,0,0,10
22,22,21,94.06,0,0,0,0,16.6,11.2,100,1016,12.5,3,0,0,0,10
22,22,21,94.06,0,0,0,0,7.2,10.3,95,1016,27.5,3,0,0,0,10
21.1,21.1,21,99.73,0,0,0,0,4.7,9.1,96,1016,36.3,2.8,0,0,0,10
21.5,21.5,21,96.99,0,0,0,0,4,8.5,95,1016,58.9,3,0,0,0,10
21,21,20.5,96.98,0,0,0,0,4.7,6.5,65,1016,50,1.5,0,0,0,10
22.6,22.6,21.4,93.26,0,0,0,0,8.3,4.4,121,1016.9,83.8,6.8,9,0,0,10
23,23,22,94.11,0,0,0,0,14.8,7.4,95,1017,94,2,136,0.5,1,10
24,24,22,88.6,0,0,0,0,20.2,7.4,80,1018,89,3,357,1.3,4,10
25.9,25.9,22,79.12,0,0,0,0,20.9,5.9,143,1017.6,82.6,7.9,533,1.9,5,10
27.5,29.9,22,71.99,0,0,0,0,23.8,7.4,169.9,1016.5,89,7,657,2.4,7,10
28.5,30.7,21,63.88,0,0,0,0,25.2,12.1,170,1015.5,89,10,715,2.6,7,10
29.7,32,20.8,58.89,0,0,0,0,25.6,12.2,151,1014.4,69.8,10.4,567,2,6,10
30,32.6,21,58.58,0,0,0,0,25.6,13.9,145,1013.5,69,10,238,0.9,2,10
29.5,32,21,60.3,0,0,0,0,24.8,17.5,150,1013,50,10,168,0.6,2,3
29,31.3,20.9,61.7,0,0,0,0,25.2,10.4,142,1013,30.2,10.2,140,0.5,1,3
27.5,29.5,21,67.72,0,0,0,0,28.8,17.5,135,1013.5,25,10,59,0.2,1,3
26.5,26.5,21,71.82,0,0,0,0,32.4,15.7,135,1014,16.1,10,2,0,0,5
25.6,25.6,21.5,77.97,0,0,0,0,35.3,10.1,159,1014.7,10,10.2,0,0,0,10
25,25,22,83.45,0,0,0,0,35.6,15.7,130,1015,25,10,0,0,0,10
24,24,22,88.6,0,0,0,0,36,13.9,120,1016,0,9.5,0,0,0,10
23.9,23.9,22.1,89.58,0,0,0,0,31.3,9.1,133,1016.1,0,9.1,0,0,0,10
23,23,22,94.11,0,0,0,0,28.4,10.3,110,1016,70,5.5,0,0,0,10
23.5,23.5,23,97.02,0,0,0,0,27,10.3,105,1016,89,5,0,0,0,10
23.4,23.4,21.8,90.63,0,0,0,0,25.6,6.9,130,1015.6,51.4,8.6,0,0,0,10
22.5,22.5,22,97.01,0,0,0,0,23,9.4,105,1015,50,5.5,0,0,0,10
22.5,22.5,22,97,0,0,0,0,16.6,8.5,90,1015,89,4.5,0,0,0,10
22.9,22.9,21.7,93.03,0,0,0,0,18.4,5.5,128,1014.5,89.5,8.3,0,0,0,10
23,23,22,94.11,0,0,0,0,13.3,7.6,80,1014,100,5,0,0,0,10
23,23,22,94.11,0,0,0,0,8.3,6.5,80,1015,95,4.5,0,0,0,10
23.2,23.2,22,92.7,0,0,0,0,7.9,3.3,116,1015.3,95.8,3.5,12,0,0,10
24,24,23,94.15,0,0,0,0,8.6,9.4,115,1016,89,4.5,156,0.6,2,10
24,24,22.5,91.33,0,0,0,0,9.7,7.4,115,1016,89,4.5,353,1.3,4,10
25.4,25.4,22.6,84.53,0,0,0,0,11.9,6.3,147,1016.1,89.7,8.4,465,1.7,5,10
26,26,22.5,81.06,0.1,100,0,0,13,4.5,150,1015.5,89,6.5,388,1.4,4,10
27,29.2,22,74.14,0,0,0,0,15.1,6.5,170,1014,89,8.5,279,1,3,10
28.2,30.6,21.3,66.11,0,0,0,0,13.7,6.8,176,1012.8,83.3,10.4,210,0.8,2,3
28.5,31.3,22,67.92,0,0,0,0,14.8,6.5,360,1012,69,9.5,156,0.6,2,3
28.5,31.3,22,67.91,0,0,0,0,16.9,4.5,139.9,1011.5,50,10,115,0.4,1,3
29.1,31.2,20.6,60.52,0,0,0,0,22.7,7.3,152,1011.2,20.7,10.2,148,0.5,1,10
28,30.7,22,69.92,0,0,0,0,28.8,13,125,1011.5,57.6,10,105,0.4,1,3
26.5,26.5,22.5,78.72,0,0,0,0,31,14.8,120,1012,24.9,9,2,0,0,3
25.7,25.7,22.4,81.87,0,0,0,0,31.7,9.1,157,1012.4,16.6,9.5,0,0,0,5
24.5,24.5,23,91.37,0,0,0,0,30.2,13.9,115,1013,0,8,0,0,0,5
24,24,23,94.15,0,0,0,0,26.3,14.8,105,1013,50,7,0,0,0,5
24.3,24.3,22.4,89,0,0,0,0,24.1,9.4,152,1013.9,44.1,9.3,0,0,0,10
24,24,22,88.6,0,0,0,0,23.4,11.2,65,1014.5,100,9.5,0,0,0,10
24,24,22,88.6,0,0,0,0,22.7,10.3,85,1015,100,8.5,0,0,0,3
23.9,23.9,22.1,89.92,0,0,0,0,17.3,8.1,89,1014.9,99.6,9.4,0,0,0,3
24,24,22,88.6,0,0,0,0,15.8,9.4,110,1015,89,6,0,0,0,3
24,24,22,88.6,0,0,0,0,14,3.6,141.7,1015,89,6.5,0,0,0,3
23.7,23.7,22.4,92.32,0,0,0,0,11.2,1.4,76,1014.9,85.8,9,0,0,0,3
23,23,22,94.11,0,0,0,0,10.1,5.4,60,1015,70,7,0,0,0,10
23,23,22,94.11,0,0,0,0,9.7,5.4,60,1016,69,5.5,0,0,0,10
23.6,23.6,22.1,91.61,0.005,100,0,0,13.3,4.3,148,1016.9,91.3,8,8,0,0,10
23.5,23.5,22,91.3,0,0,0,0,30.2,6.5,65,1018,89,6,101,0.4,1,10
23.5,23.5,22.5,94.13,0,0,0,0,53.6,10.3,105,1018.5,70,4,30,0.1,0,10
23.9,23.9,20.8,83.15,0,0,0,0,54.7,9.7,56,1019.1,89.7,9.8,32,0.1,0,10
19.5,19.5,15.5,77.68,0,0,0,0,45,31.7,40,1020,69,10,36,0.1,0,10
20,20,14,68.37,0,0,0,0,42.1,33.5,50,1019,88,10,31,0.1,0,10
19.6,19.6,11.7,60.3,0,0,0,0,41.8,21.5,38,1018.4,96.1,10.2,30,0.1,0,10
18.5,18.5,11,61.66,0,0,0,0,40,27,35,1018,100,10,50,0.2,1,10
17.5,17.5,10.5,63.51,0,0,0,0,40,26.8,35,1019,100,10,23,0.1,0,10
17.8,17.8,9.5,58.27,0,0,0,0,40.7,13.7,45,1019.6,100,10,9,0,0,10
15.5,15.5,10.5,72.14,0,0,0,0,37.1,19.4,35,1021,100,10,6,0,0,10
15,15,10.5,74.47,0,0,0,0,38.5,20.5,35,1021.5,100,10,0,0,0,10
16,16,8.8,62.57,0.067,100,0,0,37.1,13.2,47,1022.2,100,10.2,0,0,0,10
