,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
"('MAE', 'lstm_365_7_temp_new_FINAL_32_ewt')",0.9535516557,1.0976397407,1.1398679451,1.2110350844,1.306209633,1.4234344422,1.4739835754000001
"('RMSE', 'lstm_365_7_temp_new_FINAL_32_ewt')",1.2183321416,1.4042249893,1.4581210619,1.5529518346,1.7039080318000002,1.8564244715,1.9450866504
"('Corr', 'lstm_365_7_temp_new_FINAL_32_ewt')",0.9678961343,0.9558571391,0.9516648977000001,0.9456359691,0.9352659598,0.9281339982000001,0.9216798284000001
